Doc_id,Clean_text,Sentiments
132,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
133,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
134,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
135,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
136,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
137,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
138,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
139,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
140,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
141,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
142,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
143,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
144,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
145,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
146,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
147,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
148,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
149,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
150,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
151,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
152,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
153,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
154,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
155,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
156,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
157,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
158,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
159,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
160,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
161,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
162,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
163,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
164,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
165,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
166,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
167,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
168,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
169,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
170,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
171,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
172,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
173,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
174,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
175,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
176,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
177,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
178,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
179,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
180,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
181,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
182,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
183,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
184,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
185,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
186,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
187,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
188,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
189,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
